PDB,total_residues_all,altloc_residues_all,proportion_altlocs_all,total_residues_close,altloc_residues_close,proportion_altlocs_close
102D,24,0,0.0,12,0,0.0
108M,154,2,0.012987012987012988,9,3,0.3333333333333333
109D,24,0,0.0,12,0,0.0
10GS,416,0,0.0,17,0,0.0
110D,6,0,0.0,3,0,0.0
11GS,416,0,0.0,13,0,0.0
12GS,416,0,0.0,19,0,0.0
13GS,418,0,0.0,10,0,0.0
148L,164,2,0.012195121951219513,15,3,0.2
166D,24,0,0.0,14,0,0.0
172L,163,0,0.0,11,0,0.0
17GS,418,0,0.0,17,0,0.0
184L,162,0,0.0,15,0,0.0
186L,162,0,0.0,15,0,0.0
18GS,416,0,0.0,16,0,0.0
190L,161,0,0.0,12,0,0.0
1914,170,0,0.0,11,0,0.0
195D,24,0,0.0,13,0,0.0
19GS,416,0,0.0,12,0,0.0
1A07,211,0,0.0,13,0,0.0
1A08,211,0,0.0,15,0,0.0
1A09,210,0,0.0,17,0,0.0
1A0F,402,0,0.0,18,0,0.0
1A0G,562,0,0.0,23,0,0.0
1A0H,832,0,0.0,27,0,0.0
1A0I,332,0,0.0,17,0,0.0
1A0R,592,0,0.0,14,0,0.0
1A18,130,0,0.0,21,0,0.0
1A1A,210,0,0.0,16,0,0.0
1A1B,211,0,0.0,13,0,0.0
1A1C,211,0,0.0,13,0,0.0
1A1E,210,0,0.0,13,0,0.0
1A25,264,0,0.0,7,0,0.0
1A26,351,0,0.0,14,0,0.0
1A27,285,0,0.0,35,0,0.0
1A2B,178,0,0.0,29,0,0.0
1A2D,260,0,0.0,19,0,0.0
1A34,167,6,0.03592814371257485,5,0,0.0
1A37,402,0,0.0,14,0,0.0
1A39,401,0,0.0,4,0,0.0
1A4H,214,0,0.0,21,0,0.0
1A4I,580,0,0.0,26,0,0.0
1A4K,869,0,0.0,14,0,0.0
1A4R,380,0,0.0,18,0,0.0
1A4Z,1972,0,0.0,38,0,0.0
1A53,247,0,0.0,21,0,0.0
1A5A,644,0,0.0,22,0,0.0
1A5B,638,0,0.0,19,0,0.0
1A5S,646,0,0.0,24,0,0.0
1A5V,146,0,0.0,7,0,0.0
1A5W,146,1,0.00684931506849315,8,3,0.375
1A5X,146,0,0.0,7,0,0.0
1A65,504,0,0.0,6,0,0.0
1A6Y,199,0,0.0,13,0,0.0
1A71,748,0,0.0,35,0,0.0
