,PDB,total_residues,altloc_residues,proportion_altlocs
0,102D,12,0,0.0
1,108M,9,3,0.3333333333333333
2,109D,12,0,0.0
3,10GS,17,0,0.0
4,110D,3,0,0.0
5,11GS,13,0,0.0
6,12GS,19,0,0.0
7,13GS,10,0,0.0
8,148L,15,3,0.2
9,166D,14,0,0.0
10,172L,11,0,0.0
11,17GS,17,0,0.0
12,184L,15,0,0.0
13,186L,15,0,0.0
14,18GS,16,0,0.0
15,190L,12,0,0.0
16,1914,11,0,0.0
17,195D,13,0,0.0
18,19GS,12,0,0.0
19,1A07,13,0,0.0
20,1A08,15,0,0.0
21,1A09,17,0,0.0
22,1A0F,18,0,0.0
23,1A0G,23,0,0.0
24,1A0H,27,0,0.0
25,1A0I,17,0,0.0
26,1A0R,14,0,0.0
27,1A18,21,0,0.0
28,1A1A,16,0,0.0
29,1A1B,13,0,0.0
30,1A1C,13,0,0.0
31,1A1E,13,0,0.0
32,1A25,7,0,0.0
33,1A26,14,0,0.0
34,1A27,35,0,0.0
35,1A2B,29,0,0.0
36,1A2D,19,0,0.0
37,1A34,5,0,0.0
38,1A37,14,0,0.0
39,1A39,4,0,0.0
40,1A4H,21,0,0.0
41,1A4I,26,0,0.0
42,1A4K,14,0,0.0
43,1A4R,18,0,0.0
44,1A4Z,38,0,0.0
45,1A53,21,0,0.0
46,1A5A,22,0,0.0
47,1A5B,19,0,0.0
48,1A5S,24,0,0.0
49,1A5V,7,0,0.0
50,1A5W,8,3,0.375
51,1A5X,7,0,0.0
52,1A65,6,0,0.0
53,1A6Y,13,0,0.0
54,1A71,35,0,0.0
55,1A72,31,0,0.0
56,1A7Y,4,0,0.0
57,1A7Z,1,0,0.0
58,1A80,30,0,0.0
59,1A8A,9,0,0.0
60,1A8B,7,0,0.0
61,1A8G,18,0,0.0
62,1A8I,27,0,0.0
63,1A8T,19,0,0.0
64,1ACJ,17,0,0.0
65,1ACL,15,0,0.0
66,1AE1,31,0,0.0
67,1AER,22,0,0.0
68,1AF2,16,0,0.0
69,1AF7,27,0,0.0
70,1AG9,25,0,0.0
71,1AGN,36,0,0.0
72,1AH0,33,0,0.0
73,1AH3,33,0,0.0
74,1AH4,33,0,0.0
75,1AH5,24,0,0.0
76,1AHN,24,0,0.0
77,1AHP,20,0,0.0
78,1AI4,15,0,0.0
79,1AI5,14,0,0.0
80,1AI6,15,0,0.0
81,1AJ6,14,0,0.0
82,1AJ7,15,0,0.0
83,1AJN,15,0,0.0
84,1AJP,13,3,0.23076923076923078
85,1AJQ,14,0,0.0
86,1AJR,28,0,0.0
87,1AJS,27,0,0.0
88,1AJV,17,0,0.0
89,1AJX,15,0,0.0
90,1AKD,13,0,0.0
91,1AKE,45,3,0.06666666666666667
92,1AKQ,23,0,0.0
93,1AKR,22,0,0.0
94,1AKT,22,0,0.0
95,1AKU,23,0,0.0
96,1AKV,24,0,0.0
97,1AKW,22,0,0.0
98,1AKY,45,0,0.0
99,1AL6,27,0,0.0
100,1AL8,26,0,0.0
101,1ALN,16,0,0.0
102,1AMN,19,0,0.0
103,1AMU,21,0,0.0
104,1AMZ,28,0,0.0
105,1AO0,15,0,0.0
106,1AOD,9,0,0.0
107,1AOG,50,0,0.0
108,1AON,23,0,0.0
109,1AP9,19,0,0.0
110,1AQ1,22,0,0.0
111,1AQ2,25,0,0.0
112,1AQ7,7,0,0.0
113,1AQB,28,0,0.0
114,1AQI,18,0,0.0
115,1AQJ,20,0,0.0
116,1AS0,32,0,0.0
117,1AS2,26,0,0.0
118,1AS3,25,0,0.0
119,1ASL,28,0,0.0
120,1ASM,21,0,0.0
121,1ASN,20,0,0.0
122,1ATP,30,0,0.0
123,1AUK,7,0,0.0
124,1AUX,20,0,0.0
125,1AV4,18,0,0.0
126,1AV6,16,0,0.0
127,1AV7,21,0,0.0
128,1AVL,20,3,0.15
129,1AVT,21,0,0.0
130,1AX4,27,0,0.0
131,1AX9,16,0,0.0
132,1AXB,15,0,0.0
133,1AXE,35,0,0.0
134,1AXG,37,0,0.0
135,1AY2,8,0,0.0
136,1AYA,14,0,0.0
137,1AYB,14,0,0.0
138,1AZ1,31,0,0.0
139,1AZ2,31,0,0.0
140,1AZM,16,0,0.0
141,1AZS,21,0,0.0
142,1B02,19,0,0.0
143,1B0D,8,0,0.0
144,1B11,13,4,0.3076923076923077
145,1B1C,23,0,0.0
146,1B38,24,0,0.0
147,1B39,25,0,0.0
148,1B3A,8,0,0.0
149,1B3N,17,0,0.0
150,1B42,24,0,0.0
151,1B48,24,0,0.0
152,1B54,13,0,0.0
153,1B57,17,0,0.0
154,1B59,20,0,0.0
155,1B5Q,46,0,0.0
156,1B62,24,0,0.0
157,1B63,27,0,0.0
158,1B6A,20,0,0.0
159,1B6J,19,0,0.0
160,1B6K,30,5,0.16666666666666666
161,1B6L,30,4,0.13333333333333333
162,1B6M,30,6,0.2
