,PDB,RFree,Rwork,Resolution,Spacegroup
0,6qja,0.2147,,1.54,P 21 21 21
1,1yvt,0.236,,1.8,P 41 21 2
2,7ldw,0.2474,,2.5,P 1 21 1
3,2qf0,0.257,,2.5,P 21 21 21
4,8b9o,0.2266,,2.0,C 1 2 1
5,6beb,0.208,,2.55,P 61 2 2
6,5t9i,0.197,,2.09,P 61 2 2
7,8tfe,0.21384,,1.62,C 1 2 1
8,1t2o,0.275,,2.3,P 1 21 1
9,4aru,0.18865,,1.45,C 2 2 21
10,8qpo,0.20078,,2.74,P 1 21 1
11,2yow,0.28062,,1.8,P 21 21 21
12,1lm3,0.333,,2.7,P 21 21 21
13,6qdm,0.3098,,3.8,C 1 2 1
14,7yxt,0.2586,,2.48,P 21 21 2
15,6q9l,0.1898,,1.13,P 21 21 2
16,8af6,0.2203,,1.7,C 1 2 1
17,5fgl,0.22943,,2.4,P 43 21 2
18,3ac0,0.24241,,2.54,C 1 2 1
19,2w1q,0.199,,1.6,P 21 21 21
20,3kth,0.275,,3.0,P 21 21 2
21,2qca,,,1.33,P 31
22,1l5k,0.216,,2.0,P 21 21 2
23,3a4p,0.24,,2.54,C 1 2 1
24,7lji,0.1618,,1.85,P 21 21 21
25,4kv1,0.222,,1.5,P 21 21 21
26,3kr8,0.2549,,2.1,C 2 2 21
27,6a4x,0.2127,,1.63,P 41 21 2
28,8co5,0.25195,,2.42,I 4 2 2
29,3a5m,0.223,,2.4,P 21 21 21
30,3qbf,0.1993,,1.45,P 21 21 2
31,3i9y,0.261,,2.16,P 65
32,2aub,0.283,,1.7,P 43 21 2
33,7b6t,0.1651,,1.7,P 31
34,6amj,0.2618,,2.49,P 1 21 1
35,5w99,0.199,,1.59,P 21 21 21
36,2i25,0.21083,,1.8,P 21 21 21
37,8t9n,0.2748,,1.9,P 1 21 1
38,3a51,0.23402,,2.0,P 21 21 21
39,5an5,0.1634,,1.2,P 1
40,3quo,0.203,,1.58,P 32 2 1
41,1b2p,0.208,,1.7,P 21 21 2
42,7kr7,0.1893,,2.22,C 2 2 21
43,1i3d,0.244,,1.7,P 21 21 2
44,7ks4,0.221,,1.89,I 2 3
45,3l9z,0.2549,,2.08,P 64 2 2
46,4z15,0.21,,1.6,P 21 21 21
47,3i9u,0.22266,,2.25,P 32 2 1
48,3kvz,0.2816,,2.1,P 1 21 1
49,5qre,0.2403,,1.67,C 1 2 1
50,6w3o,0.1617,,1.42,P 1 21 1
51,4a0q,0.2288,,1.9,P 3
52,6i0r,0.2393,,2.1,P 1 21 1
53,2brm,0.281,,2.2,P 1 21 1
54,6bqh,0.2745,,2.7,C 2 2 2
55,3qia,0.297,,2.6,P 43 21 2
56,3au5,0.281,,2.55,P 1 21 1
57,7aw5,0.2072,,1.65,P 21 21 21
58,1yr5,0.257,,1.7,C 1 2 1
59,3ckn,0.23243,,2.2,P 41 21 2
60,6a04,0.2496,,1.9,P 21 21 21
61,3qi2,0.273,,2.8,C 2 2 21
62,4qjz,0.245,,1.61,P 1 21 1
63,5qdb,0.192,,2.1,P 1 21 1
64,4bo8,0.3009,,2.7,P 21 21 21
65,3l3i,0.24159,,1.7,P 21 21 21
66,3i0g,0.2296,,1.4,C 2 2 21
67,2wa6,0.234,,1.95,P 21 21 21
68,3taj,0.223,,1.7,P 1 21 1
69,3ce1,0.166,,1.2,C 2 2 21
70,6f8j,0.2316,,1.95,P 32 2 1
71,2i6j,0.241,,1.66,P 41
72,4b0q,0.2245,,1.87,P 21 21 21
73,6fgf,0.2562,,2.8,P 31 2 1
74,4aq7,0.2503,,2.5,C 1 2 1
75,4lnm,0.289,,2.1,C 2 2 21
76,7arr,0.1607,,1.1,P 1
77,8qni,0.286,,2.48,P 21 21 21
78,4yx7,0.21,,2.0,P 1 21 1
79,5t23,0.33923,,2.78,C 1 2 1
80,6b97,0.22,,1.76,P 21 21 21
81,3qpg,0.179,,1.79,C 2 2 21
82,8aug,0.173,,1.35,P 21 21 2
83,8t1z,0.2166,,1.93,P 1 21 1
84,1b67,0.266,,1.48,P 21 21 21
85,8bpw,0.1966,,1.8,I 1 2 1
86,7b6k,0.2559,,1.84,P 1
87,2z4v,0.217,,1.86,P 21 21 21
88,8tcd,0.22836,,1.9,P 21 21 21
89,2id9,0.202,,1.75,P 21 21 21
90,4kqu,0.201,,2.07,P 41 21 2
